,SUBDIVISION,YEAR,Jan-Feb,Mar-May,June-September,Oct-Dec,Latitude,Longitude,ANNUAL,target
60,0,1966,84.0,427.6,1372.0,817.6,12.61124,92.83165,2701.2000000000007,0
61,0,1967,186.2,609.8,1796.4,624.2,12.61124,92.83165,3216.5999999999995,0
62,0,1968,23.4,383.3,1803.3,552.8000000000002,12.61124,92.83165,2762.8,0
63,0,1969,171.0,352.7,1539.2,556.3,12.61124,92.83165,2619.2000000000007,0
64,0,1970,106.2,488.7,1738.3000000000006,1037.7,12.61124,92.83165,3370.9,0
65,0,1971,74.3,471.0,1613.8,839.6,12.61124,92.83165,2998.700000000001,0
66,0,1972,15.4,606.0,1844.0,857.7,12.61124,92.83165,3323.1000000000013,0
67,0,1973,38.40000000000001,478.70000000000016,1587.8,886.1,12.61124,92.83165,2990.9999999999995,0
68,0,1974,66.1,671.9,1378.7000000000005,845.3999999999999,12.61124,92.83165,2962.1000000000013,0
69,0,1975,304.4,395.1,1589.1,797.0,12.61124,92.83165,3085.5999999999995,0
70,0,1976,30.6,713.5999999999997,1698.2,833.6,12.61124,92.83165,3275.9999999999995,0
71,0,1977,122.9,288.3,1493.0,484.0,12.61124,92.83165,2388.2,0
72,0,1978,138.9,425.9,1775.9,371.70000000000016,12.61124,92.83165,2712.4,0
73,0,1979,44.9,215.0,1242.5,346.90000000000015,12.61124,92.83165,1849.3,0
74,0,1980,6.3,776.4,1946.2000000000005,896.4,12.61124,92.83165,3625.3,0
75,0,1981,38.9,366.6,1908.0,761.2,12.61124,92.83165,3074.7,0
76,0,1982,11.6,333.2999999999999,1575.8000000000006,463.8,12.61124,92.83165,2384.5,0
77,0,1983,22.1,253.0,1892.5,624.9,12.61124,92.83165,2792.5000000000005,0
78,0,1984,243.2,345.20000000000016,1280.6999999999996,951.2,12.61124,92.83165,2820.3,0
79,0,1985,31.2,357.20000000000016,1557.0,685.4,12.61124,92.83165,2630.8,0
80,0,1986,15.4,312.3,1473.6,386.6,12.61124,92.83165,2187.9,0
81,0,1987,107.6,201.0,1434.4,1020.9,12.61124,92.83165,2763.9,0
82,0,1988,50.1,538.2,1810.5,924.3,12.61124,92.83165,3323.1000000000013,0
83,0,1989,68.8,490.0,1424.1,550.8,12.61124,92.83165,2533.7000000000007,0
84,0,1990,13.6,536.7,1107.9,525.0,12.61124,92.83165,2183.2,0
85,0,1991,17.9,352.20000000000016,1689.3000000000006,476.20000000000016,12.61124,92.83165,2535.6,0
86,0,1992,86.80000000000004,246.8,1436.2,328.8,12.61124,92.83165,2098.6,0
87,0,1993,14.9,355.0,1312.5,555.0,12.61124,92.83165,2237.4,0
88,0,1994,42.7,687.2,2191.6,341.6,12.61124,92.83165,3263.1000000000013,0
89,0,1995,64.3,348.0,1934.0,769.1999999999997,12.61124,92.83165,3115.4999999999995,0
90,0,1996,57.0,424.1,1764.3000000000006,751.5,12.61124,92.83165,2996.9,0
91,0,1997,9.5,296.9000000000001,1988.8,459.9,12.61124,92.83165,2755.1,0
92,0,1998,0.9,348.9,1561.2,935.4,12.61124,92.83165,2846.4,0
93,0,1999,91.4,542.2,1358.0,708.0999999999997,12.61124,92.83165,2699.7,0
94,0,2000,112.0,812.2,1244.1999999999996,594.7,12.61124,92.83165,2763.1,0
95,0,2001,104.7,878.6999999999997,1515.4,582.0,12.61124,92.83165,3080.8,0
96,0,2002,10.6,478.4,1525.5,605.6,12.61124,92.83165,2620.1,0
97,0,2003,52.2,464.9,1406.1,432.5,12.61124,92.83165,2355.7000000000007,0
98,0,2004,90.4,583.2,1392.2,394.2,12.61124,92.83165,2460.0000000000005,0
99,0,2005,0.0,376.70000000000016,1700.3000000000006,877.5,12.61124,92.83165,2954.5,0
100,0,2006,30.70000000000001,534.0,1314.8000000000004,525.1999999999998,12.61124,92.83165,2404.7,0
101,0,2007,6.5,429.6,1793.1999999999994,518.9,12.61124,92.83165,2748.2000000000007,0
102,0,2008,77.60000000000002,877.4,1783.1,636.8,12.61124,92.83165,3374.9,0
103,0,2009,30.8,493.8,1627.0,387.0,12.61124,92.83165,2538.6,0
104,0,2010,109.7,332.2,1797.9,917.3,12.61124,92.83165,3157.1,0
105,0,2011,350.7,710.7,2165.0,601.6,12.61124,92.83165,3828.000000000002,0
106,0,2012,165.5,620.5999999999998,2014.0,697.5,12.61124,92.83165,3497.6,0
107,0,2013,104.7,598.6,2152.1,902.3,12.61124,92.83165,3757.7,0
108,0,2014,50.5,249.1,1618.7000000000005,704.1999999999997,12.61124,92.83165,2622.5,0
109,0,2015,134.4,473.19999999999993,1678.6,618.3,12.61124,92.83165,2904.5,0
